id,url,state,action,background,additional_details,signature_count,date_created,date_responded,date_debated,is_environmental,openai_explanation
332280,https://petition.parliament.uk/petitions/332280.json,closed,A government cash bailout for the coach industry before it's too late.,"Please help this sector with much needed money so we can keep these companies afloat.

We keep tens of thousands of people in jobs in our sector and hundreds of thousands of people in other industries.

Some companies are already having coaches repossessed!","Without us our country wouldn’t be able to operate the same.

Most companies have had no income since March and may not till next year

Who takes kids to school?
Who takes tens of thousands of people on their holidays?
Who takes people to the theatres?
Who transports the incoming tourists?
Who takes you on your campaign trail?
Who takes fans to sporting events?

We bring billions of pounds to the UK economy.

We help keep carbon emissions down, as on average each coach trip can take ten cars of the road!",17859,2020-07-21T10:24:50.003Z,2020-11-03,,False,Not related to environmental issues
599622,https://petition.parliament.uk/petitions/599622.json,closed,Create new recycling and reuse requirements for local authorities,"COP26 climate goals can only be met if we tackle consumer waste and consumption. The Government should create new requirements for local authorities to follow the waste hierarchy, and reduce landfill use, to reduce carbon emissions and waste.","The Government must bring forward its pledge to reduce landfill use to a max 10% of municipal waste by 2035 and mandate Reuse and Recycle. They need to be more ambitious with their target and act now to mandate that councils use the waste hierarchy. The waste hierarchy promotes the following steps in this order: Prevention, Reuse, Recycling, Other Recovery, and Disposal.
 
Second hand, the circular economy and reuse should form a larger part of the national - and international - net zero strategy.",17287,2021-10-21T16:08:55.420Z,2021-12-31,,True,Related to waste reduction and landfill use
595483,https://petition.parliament.uk/petitions/595483.json,closed,Ban the Shooting of Critically Endangered Woodcocks.,"Numbers of this iconic bird have declined dramatically over the past 20 years, placing them on the RED (critically endangered) wildlife conservation status list.
","It is therefore paradoxical that shooting them is still permitted.
In order that these birds do not go extinct the time has come to ban it.

Those involved in the shooting industry do not wish to lose any business and make all kinds of claims and assertions against a ban, their primary concern being revenue from shoots and decidedly not conservation. Leaving it up to shooters and gamekeepers to exercise caution means that while some may comply, others will not, thus driving Woodcocks into extinction. Only a proper ban will ensure this bird's survival.",17272,2021-08-21T12:50:57.161Z,2022-01-04,,False,Ban the Shooting of Critically Endangered Woodcocks does not appear to be enviromental in nature.
300050,https://petition.parliament.uk/petitions/300050.json,closed,Legal rights for ancient trees,"All ancient trees (over 100 years of age) to have the legal right not to be damaged or felled, with the exception of sustainable forestry to produce wood and maintaining the tree’s health. This would effectively make tree preservation orders (TPOs) national.","1. Trees are vital to our natural ecosystem and support hundreds of animal and insect life as well producing oxygen and absorbing carbon dioxide and other pollutants.

2. i believe all life is worthy of our care and respect, just as an animal that produces meat and milk is worthy of our care and respect, a tree producing wood and fruit is worthy of our care and respect.

3. Any undue harm or felling of ancient trees for landscaping/visual reasons should be illegal and subject to prosecution.",17013,2020-03-03T12:59:06.478Z,2020-07-30,,False,Legal rights for ancient trees does not appear to be enviromental in nature.
605749,https://petition.parliament.uk/petitions/605749.json,closed,End ‘ghost' flights: reform historic rights to landing slots. ,"UK regulation states that airlines must use their landing slots more than 80% of the time in order to keep them. This was suspended at the outset of the pandemic but is now 50%, with plans to return to 80% by March 2022.","We ask the Government to reduce this to 0% as a permanent measure.
 
Airlines have been flying planes empty to retain their landing slots. These ‘ghost’ flights are a shocking waste of resources and a needless source of emissions.

At a time of climate emergency we need to drastically reduce our fossil fuel use, and in the context of our steadily dwindling carbon budget, it beggars belief that planes fly empty.
 
‘Ghost' flights are of no benefit to anyone. This is a needless, wasteful practice, and reforming historic rights to landing slots will bring it to an end.",16967,2022-01-11T12:27:42.348Z,2022-02-28,,False,End ‘ghost' flights: reform historic rights to landing slots does not appear to be enviromental in nature.
574231,https://petition.parliament.uk/petitions/574231.json,closed,Allow wild camping in England,"A lot of people in England do bushcraft, and spend 1 to 3 days camping spending free time in nature, improving their bushcrafting and survival skills, and passing on this skill to the younger generation so that they know how to live in harmony with nature.","This is a passion and hobby for adults and young people. We ask the Government to put in place rules for practicing Wild Camping on unenclosed land, as it is in Scotland.",16411,2021-02-06T14:52:09.223Z,2021-04-06,,True,Allow wild camping in England is enviromental in nature.
610300,https://petition.parliament.uk/petitions/610300.json,closed,Provide an energy grant to people with a disability or serious medical condition,"Millions of UK citizens have a disability or serious medical condition that means they use more energy. Many people need to use a ventilator 24/7. People use electric pumps to feed through a tubes. People need to charge their mobility equipment, such as electric wheelchairs, stair lifts, bath seats.","The Government needs to provide a grant, so that people with a disability or serious medical condition can afford to run the equipment, or heating, they need to stay alive. It is not right that people living with conditions that require energy, should be punished for it, and sometimes face unmanageable debts with energy companies. What a horrendous situation to face. If some people don't run their ventilator, CPAP machine or feeding pump they will die. Our Government must help people afford to stay alive.",16303,2022-03-01T15:34:24.421Z,2022-06-14,,False,Provide an energy grant to people with a disability or serious medical condition does not appear to be enviromental in nature.
620839,https://petition.parliament.uk/petitions/620839.json,open,Set a Minimum Pension Guarantee (MPG) of at least £200 pw for state pensioners,"An MPG of at least £200 per week to be set for all state pensioners, irrespective of gender, marital status or contribution record, to remove anomalies in the pension system, including the growing discrepancy between the old and new state pensions. Any higher pensions should not be affected.","Silver Voices research (from DWP sources) reveals that in September 2020 only 6% of state pensioners received the top rate of the new state pension at £185 per week, 87% received a basic State Pension of £142 or less. The UK provides the worst state pension in the developed world, which is insufficient for life’s essentials, particularly with surging energy and food prices. After a lifetime of tax and national insurance contributions, older people deserve a minimum income of £200 per week without recourse to the benefits system.",15919,2022-07-24T11:47:40.271Z,2022-08-22,,False,Set a Minimum Pension Guarantee (MPG) of at least £200 pw for state pensioners does not appear to be enviromental in nature.
617573,https://petition.parliament.uk/petitions/617573.json,closed,Require all new builds to have solar panels as condition of planning permission,Make it mandatory for all new buildings to be fitted with solar panels as a condition of planning permission. ,"This should help achieve our net zero goals without sacrificing more areas of beauty. It should also help to bring down household bills, reduce our reliance on fossil fuels and reduce carbon emissions.",15145,2022-05-30T09:09:05.762Z,2022-11-23,,True,Require all new builds to have solar panels as condition of planning permission is enviromental in nature.
590080,https://petition.parliament.uk/petitions/590080.json,closed,Add Poland to the green list for international travel,"COVID-19 cases in Poland are lower than for many other countries, but people arriving in England from Poland still have to go for quarantine for 10 days. Please move Poland on green list",,14863,2021-06-27T19:42:47.393Z,2021-07-28,,False,Add Poland to the green list for international travel does not appear to be enviromental in nature.
332059,https://petition.parliament.uk/petitions/332059.json,closed,Declare “Tested on Animals” on packaging for any product tested on animals,"At present, if a product is NOT tested on animals it is often shown on the packaging. The consumer has to actively research products that do not display this information. Every product (cosmetics/cleaning products) should have to declare that this product is tested on animals.","To make it easier for consumers to make a decision when buying a product. People who feel they are against animal testing, but have not actively researched every product they buy may use a product without realising it was tested on animals. Many companies use misleading product names, the word natural, for example, to give the impression they are animal friendly. Stating “tested on animals” would create clarity. I would not extend this rule to medical products as these are essential to health.",14615,2020-07-18T19:38:58.274Z,2020-11-24,,False,Declare “Tested on Animals” on packaging for any product tested on animals does not appear to be enviromental in nature.
599738,https://petition.parliament.uk/petitions/599738.json,closed,"Ban the manufacture, import, sale and use of fireworks in the UK","Fireworks can cause injury and even death, frighten pets and wildlife, and are bad for the environment.",,14357,2021-10-23T13:08:04.773Z,2021-11-25,,True,"Ban the manufacture, import, sale and use of fireworks in the UK is enviromental in nature."
324613,https://petition.parliament.uk/petitions/324613.json,closed,Extend the 2026 deadline for the recording of historic footpaths & bridleways.,"Extend the existing deadline of 1st January 2026 to record historic paths onto Definitive Maps (as required by the Countryside & Rights of Way Act 2000) for a further 10 years until 2036.
Recording a single path can take years, more time is needed to record them all, or they will be lost for ever.","Thousands of our historic Rights of Way, some used for centuries, are not officially mapped. If not recorded by 1st January 2026, they will be closed and lost forever. The legal process for recording a path, often done by volunteers, is time consuming and may take several years. There is not enough time left to record all our footpaths and bridleways. Our rights to walk and ride through the land are part of our national heritage, these rights should not be lost because of an arbitrary deadline.",14140,2020-06-03T21:37:06.571Z,2021-02-08,,False,This petition does not seem to be related to the environment.
326850,https://petition.parliament.uk/petitions/326850.json,closed,Hold a public vote on HS2 project as it is being paid for by the public,I would like a public vote/referendum on whether we want to spend in excess of £100 billion on a train project which will destroy or irreparably damage natural habitats and wildlife sites along the route.,"To me, the damage & cost to public land, wildlife & nature at a time of Environmental emergency & recession outweighs the long-term benefits of travel. The HS2 project should be decided by the people paying for it, the tax payers. It’s destroying communities & environment.",13949,2020-06-12T14:54:45.906Z,2021-01-05,,True,This petition is related to the environment as it relates to HS2 and the destruction of natural habitats and wildlife sites.
600577,https://petition.parliament.uk/petitions/600577.json,closed,Ban developments on Green belt and Greenfield sites across the country,"Loss of green belt & greenfield sites for housing negatively affects the environment, releasing carbon from the land & losing that land's ability to capture new carbon. Wildlife and plant life already under stress, are displaced & loss of green spaces has a negative effect on communities.","Houses proposed to be built have a great effect upon our environment. Contribute to pollution and in turn affect our planet. House development should take place on brown sites. The greenfield land, farm land, trees and wild flowers need protection now to encourage our planet to heal. All permissions for planned development of green belt or greenfield land should be revoked, and no further permissions granted.",13947,2021-11-05T10:56:16.603Z,2022-03-01,,True,This petition is related to the environment as it addresses the loss of green spaces and carbon emissions from land development.
608007,https://petition.parliament.uk/petitions/608007.json,closed,Allow consumers the right to refuse the £200 energy rebate,Stop forcing people to accept a loan for energy without the right of refusal. This will put more strain on many financially and mentally. Make it fair for people and research a better payment plan that doesn't discriminate against children leaving home and relationship breakdown,"They will make a lot of money by charging £40 per annum to every consumer even if that consumer didn't have this £200 loan eg- child at home goes to uni and now owes £200 they didn't borrow as they were not the billed consumer at the time the loan was issued, ditto to relationship breakdown, both parties will be paying the whole amount even though they live apart ergo £200 borrowed £400 repaid.",13889,2022-02-03T23:40:11.755Z,2022-04-14,,False,This petition does not seem to be related to the environment.
575169,https://petition.parliament.uk/petitions/575169.json,closed,Prioritise brownfield development in law to protect our green belt and farmland,Enshrine in law all brown field sites to be fully developed within a 25 mile radius of green belt or farmland before any development is allowed on non-brownfield land. Ensure in law the democratic wishes of local residents and local authorities as a precedent and limit ministerial powers to suit.,"The Government has a duty to protect the environment against climate change, protect local areas of outstanding beauty and natural habitat. Preserve todays biodiversity and bio abundance for the generation of tomorrow. Nature and wildlife is at threat of extinction at the detriment of unnecessary housing  development and where today's generation may still have the benefit of existing wildlife tomorrow's generation will only have the benefit of wildlife pictures.",13839,2021-02-13T21:34:27.270Z,2021-06-03,,True,This petition is related to the environment as it addresses the development of brownfield sites in order to preserve green spaces and farmland.
617939,https://petition.parliament.uk/petitions/617939.json,closed,Referendum on whether the UK should be neutral in the Ukraine/Russia conflict,"The Government, as a matter of urgency, to hold a UK-wide referendum on the subject within a maximum of six months.","The Government is involving the UK in a foreign conflict, supporting one nation against another nation, without a mandate from the electorate.
 
We believe it is in British interests to be neutral on the Ukraine/Russia conflict, and not support Ukraine or take any action against Russia, including sanctions.
 
Stopping British military support to Ukraine will save the UK taxpayer over a billion pounds, and could help stop escalating the conflict.
 
We believe the British government should focus on peace making, without taking a side in the conflict. This could better help end the refugee crisis than current policy, and help deescalate the world energy and food situation.",13537,2022-06-06T15:57:41.360Z,2022-11-29,,False,This petition does not seem to be related to the environment.
570179,https://petition.parliament.uk/petitions/570179.json,closed,Don't scrap funding for BTEC Performing Arts,I want the government to not defund BTEC Performing Arts. The government states ‘that all technical qualifications should offer the firm prospect of a sustainable job and career.’ So they don't think that Performing Arts can lead to a good career! Well it can!!,I want the government to reconsider defunding the subject BTEC Performing Arts. I studied BTEC Performing Arts at school and I loved the subject as did many others. It can lead to many 'sustainable jobs and careers'. I wonder how many people in TV shows they like to watch took this subject at school. The arts is a big part of entertainment yet the government continues to disregard it. Please do not defund this much loved subject!,13437,2021-01-14T13:33:48.980Z,2021-02-15,,False,This petition does not seem to be related to the environment.
604892,https://petition.parliament.uk/petitions/604892.json,closed,Negotiate re-entry to the Single Market,Start negotiations to rejoin the EU Single Market,"As a result of leaving the Single Market, UK farming,fishing and businesses are failing,resulting in massive unemployment, lost trading opportunities, and huge loss of revenue. Attempting to substitute EU trade with similar in separate far-flung countries, increases produce costs and delivery time-scales, and the urgency to complete these deals, exposes us to ransom by those with whom we seek to trade. They also increase the country's carbon footprint thus accelerating global warming.",12966,2022-01-03T13:56:40.677Z,2022-06-24,,False,This petition does not seem to be related to the environment.
578875,https://petition.parliament.uk/petitions/578875.json,closed,"Remove single person protest clauses in Police, Crime, Sentencing & Courts Bill","The Government’s new Police, Crime, Sentencing and Courts Bill contains clauses designed specifically to stifle single individuals legitimately protesting. These clauses should be removed from the Bill before it becomes law","These clauses relating to single person protests are draconian in nature and are designed to stifle legitimate protest. 

Such measures have no place in a democracy",12868,2021-03-10T17:37:42.177Z,2021-04-06,,False,This petition does not seem to be related to the environment.
566467,https://petition.parliament.uk/petitions/566467.json,closed,Fund a national anti-littering campaign.,"I would like to see the Government fund a national anti-littering campaign, to put this issue back into public awareness. The campaign should include advertising on tv, online, in schools, at bus stops and anywhere else that it can be seen.","I am deeply saddened by the amount of litter I see along the roadside.
 
Plastic bottles, cans, carrier bags, fast food packaging.... so much rubbish that drifts around our environment.
 
I remember when I was a child anti-littering campaigns being a 'big thing' , with the person putting their rubbish in a bin as the symbol.
 
I believe that whilst children are taking this matter seriously again, some adults need reminding about this massive problem around us.",12864,2021-01-03T21:33:44.076Z,2021-04-22,,True,This petition is related to the environment as it seeks to fund an anti-littering campaign to reduce pollution.
577436,https://petition.parliament.uk/petitions/577436.json,closed,Require Planning Permission for laying of Astroturf Lawns / Artificial Grass,"Make install of astroturf require Planning Permission with valid reason for approval. Every day, more British gardens are being ripped out for plastic grass. Our entire ecosystem from Bees & Hedgehogs to Bats & Birds is losing precious habitat, all in the name of saving people 10-minutes mowing.","Astroturf lawns come with huge negatives. There is a high carbon footprint at production and loss of carbon storage when a natural garden is replaced. Microplastics & plastic waste is a growing environmental concern. It's bad for soils & soil life which impedes drainage, increasing flooding. Countless species rely on lawns for pollen/nectar. By destroying insect life we are damaging our ecology from the ground up. Such a destructive & rapidly spreading practice should require planning permission",12703,2021-02-28T22:51:15.850Z,2021-05-27,,False,"This petition is related to planning permission, not the environment."
324896,https://petition.parliament.uk/petitions/324896.json,closed,Make Anti-Racism training mandatory in all UK workplaces,"I want the government to make Anti-Racism training mandatory in all UK workplaces. To make companies implement this training into their inductions and to make employees take part in the training on a regular basis, to ensure that the training stays relevant.","I want the Government or Parliament to do this because I think it is important that employers and their employees are educated on what is racism, how it can be reported and handled, what racism looks like and to provide awareness of racism in the workplace. Work forces can be very diverse and it is important that all races are respected and protected while they work. I have personally seen racism within a workplace and the effects it has on the minorities within the environment.",12569,2020-06-05T10:26:10.895Z,2020-08-07,,False,"This petition is related to anti-racism training, not the environment."
328537,https://petition.parliament.uk/petitions/328537.json,closed,"Change outdated laws to prevent forest felling when baby animals are in
nests","Under the 1967 Forestry Act licences to fell woodland cannot include
enforceable conditions to safeguard our rarest wildlife such as red
squirrels, bats, dormice.

https://www.independent.co.uk/environment/red-squirrels-rare-woodland-wildlife-british-outdated-tree-felling-a8665491.html","Woodlands are routinely clear-felled or left with only a few trees
containing squirrel nests. There is always a risk that young animals are
either shredded or crushed by such felling.

The public want ethically harvested timber so felling licences need
enforceable conditions to protect wildlife. The Government should amend
Forestry legislation so this is the case in England, as it already is in
Scotland.",12383,2020-06-21T15:35:17.928Z,2021-01-05,,True,"This petition is related to forest felling, which can be considered an environmental issue."
617700,https://petition.parliament.uk/petitions/617700.json,closed,Residential Park Home residents should be eligible for £400 electricity grant,"Residential Parks provide retired and semi-retired people with affordable homes in mobile home parks, where they can live comfortably in a secure environment
Every household in the UK will get a £400 energy bill discount and this needs to be provided to all Park Home Residents without any delay","All households especially those of the retired and the semi-retired are ""being hit hard"" by spiralling bills, and the government has promised ""significant support to the British people"" to help them get by.
Residential Parks are purpose-built for the older population, who are struggling with a good quality of life and need as much support as possible for dealing with increased prices.
There should be no ambiguity in ensuring that all park home residents are able to get the £400 energy grant.",12348,2022-06-01T11:15:42.280Z,2022-08-17,,False,"This petition is related to energy grants, not the environment."
627130,https://petition.parliament.uk/petitions/627130.json,open,Increase funding for schools to ensure that they do not enter deficit,We call for immediate funding from the Government to fully meet the rising costs schools are facing.,"The current funding increase and energy bill relief scheme will not be enough to prevent further cut-backs and redundancies. This will greatly harm our education system and pupils.
 
Inflation, rising costs and unfunded pay rises mean that the majority of schools expect to be in a deficit financial position at the end of this year (22/23).
 
This will lead to schools having to significantly reduce provision, such as spending on resources for pupils and staffing. Without further funding from the Government, school staff are likely to be made redundant. Properly funding education is necessary for the growth of our country.",12123,2022-10-30T17:13:50.280Z,2022-12-06,,False,"This petition is related to school funding, not the environment."
582702,https://petition.parliament.uk/petitions/582702.json,closed,Review the Regulation of Odour Management of Landfill Sites,We call for the Government to review how the Environment Agency monitors and manages levels of malodourous gasses. Consideration should be given to compulsory monitoring of emissions of landfill sites and for the EA to be obliged to act with urgency when high levels of odour complaints are received.,"Many communities are blighted by odour issues from landfill sites. The odour from a poorly managed landfill site can reach for many miles around and affect thousands of residents directly in their own homes, workplaces and places of leisure. The malodourous gasses can greatly affect physical and mental health. It should not be acceptable that communities suffer continuous or persistent odour issues from landfill sites and living in close proximity to one should not be detrimental to residents.",12029,2021-04-10T21:35:06.199Z,2021-06-29,,True,"This petition is related to odour management of landfill sites, which is an environmental issue."
562054,https://petition.parliament.uk/petitions/562054.json,closed,Ban the use of peat in horticulture and all growing media by 2023.,"Peat bogs and moors are extremely important in the fight against the climate emergency; sequestering carbon better than many natural landscapes, reducing flooding and are great for biodiversity.The plan to stop peat use by 2030 is too late, and needs to be brought forward. Peat imports should cease.","Peat currently makes up 40% of growing media used by the public, and over 60% of that used in the professional sector.  There are other materials such as coir, composted wood and leafmould which can be used. Peatlands should not be mined, but protected and encouraged. 

The government should immediately rescind extraction licences and compensate companies, and by the end of 2023 have all UK peatlands  properly protected, and all growing media peat-free.",11916,2020-11-26T17:38:22.438Z,2021-06-04,,True,"This petition is related to peat in horticulture, which is an environmental issue."
300919,https://petition.parliament.uk/petitions/300919.json,closed,Ban the sale of artificial grass,The sale of artificial grass should be banned in the UK for environmental reasons. It is environmentally irresponsible to allow garden space occupied by grass and other plant life (which processes CO2 and supports wildlife) to be replaced by plastic which does not biodegrade.,"It is widely accepted that planting trees and other plants is beneficial in the fight against climate change due to their ability to process CO2. Grass and other plant life also support our wildlife. Artificial grass offers no benefit to wildlife.

Artificial grass is made from plastic and will not biodegrade. Its manufacture also has a carbon footprint.

For those who do not want the maintenance of plants, decking or patios are an alternative which do not contribute towards the plastic problem.",11667,2020-03-08T12:52:07.719Z,2020-09-24,,True,"This petition is related to the sale of artificial grass, which is an environmental issue."
568475,https://petition.parliament.uk/petitions/568475.json,closed,Stop Whitehaven Coal Mine in Cumbria,The UK have approved the first deep coal mine in 30 years. The effects of a coal mine will create a major setback in the British climate change efforts. The Government should revoke permission to mine on British soil.,"Dr. Laurie Michaelis, a climate expert at the IPCC, has said that emissions the mine could produce will contribute significantly to climate change.",11613,2021-01-07T19:58:47.828Z,2021-03-22,,True,"This petition is related to the Whitehaven Coal Mine, which is an environmental issue."
302971,https://petition.parliament.uk/petitions/302971.json,closed,Stop the Building of the Nuclear Power Plan at Bradwell on Sea,There is a proposal to build a new nuclear power plant at Bradwell on Sea. I request the Government to stop this process and protect the small village that will be devastated by this development.,This is a very rural location without the infrastructure to cope with the development. Just because there was a power station in the 1960's this does not make this the correct site to built a new one. The impact to the are will be immense. The 10-12 year building process will adversely impact the area and change it forever.,11506,2020-03-15T09:23:41.826Z,2020-07-21,,True,"This petition is related to the building of a nuclear power plant, which is an environmental issue."
310556,https://petition.parliament.uk/petitions/310556.json,closed,For the sake of wildlife & forests ban the release of balloons and sky lanterns.,"Please protect our environment by banning the release of balloons and sky lanterns.
Thousands of balloons and sky lanterns are released every year with little or no regard to the damage they do to our wildlife, seas and remaining forests.Government can no longer ignore the plight of nature.","We call on the government to finally take action on this blatant littering of our countryside and oceans. Over eighty local authorities have already taken action to ban these items.
The RSPCA and the National Farmers Union have reported gruesome injuries and the painful death of animals, with livestock and wildlife eating lantern wire. The Fire Brigade has also had to respond to fires caused by sky lanterns.
The government cannot and must not continue to ignore this appalling practice.",11483,2020-03-26T20:33:37.083Z,2020-10-05,,True,"The petition is related to wildlife, forests and the environment"
553694,https://petition.parliament.uk/petitions/553694.json,closed,Exempt amateur boxing from Covid-19 restrictions,"Currently young people can go to a pub and drink but cannot take part in amateur boxing, unlike football, rugby and professional boxing. We believe this is unfair, and amateur boxing should be exempted from Covid-19 restrictions so this activity can resume.","This sport can help keep young people off the streets and is an important part of some communities. Many boxers, coaches and officials volunteer their time unpaid yet are unable to compete in the UK. No coaching or education courses are being run and this is detrimental to the next generation of boxers.
 
This is about allowing volunteers to prove they can provide a safe environment for competitions to take place and boxers to achieve their dreams and careers. These young people need your support.",11394,2020-10-08T19:42:42.417Z,2020-11-23,,False,This petition does not relate to the environment.
606788,https://petition.parliament.uk/petitions/606788.json,closed,Overturn the decision to allow the use of neonicotinoid pesticides,"Defra has granted farmers in England the temporary right to use the insecticide thiamethoxam for a 120-day period. This pesticide is proven to be harmful to bees, which are vital pollinators and already suffering population decline. The decision needs to be reversed.","No one crop is important enough to jeopardise bees, without which our entire food system would be at risk. This pesticide is banned in the EU on the basis of its proven harm to pollinators and to use it even for a short period will contaminate soil and water. Although bees are dormant during winter the 120 day period will include the spring when they emerge to begin foraging.",11074,2022-01-20T07:45:30.703Z,2022-08-08,,True,"This petition relates to the use of neonicotinoid pesticides which are harmful to bees, an important part of the environment."
328115,https://petition.parliament.uk/petitions/328115.json,closed,Create an Official Racial Offenders Register/Scheme,"Similar to Sarahs Law and Clares Law, we are asking the Government to create a register for racial offenders so organisations can find out if potential employees have a history of racial related offences before they are recruited into diverse organisations.","As part of the drive to further protect citizens and have zero tolerance to all forms of prejudice and discrimination in the workplace, this register would allow employees to know if any staff have a history of race-related offences to determine if they could cause further prejudice and discrimination within the workplace and whether they would be best fit for roles within diverse working environments.",10979,2020-06-18T17:53:25.098Z,2021-01-26,,False,This petition does not relate to the environment.
307215,https://petition.parliament.uk/petitions/307215.json,closed,Pay bonus to all key workers,"I hope that the key workers are recognised and rewarded for their invaluable contribution on Coronavirus disease (COVID-19) outbreak situation! They are working in such a demanding environment, risking their own and possibly their families health to keep us all safe.","Private sector workers are often rewarded, but those working for the government, especially hospitals and education are not. In this current situation with the Coronavirus disease (COVID-19) outbreak, we all are relying on those undervalued, nurses, teachers, people working in the shops, police etc who are risking their own and possibly their families health, to keep us safe.",10944,2020-03-21T09:39:43.129Z,2020-09-15,,False,This petition does not relate to the environment.
601485,https://petition.parliament.uk/petitions/601485.json,closed,Ban the sale and use of artificial grass for residential properties,"The UK Government has previously responded to calls for the banning of artificial grass by stating that they 'prefer to help people and companies make the right choice, rather than banning items outright'. This response needs reviewing, as the use of artificial grass in UK gardens continues to grow.","The UK is described as one of the most nature-depleted countries in the world, yet people continue to destroy living gardens to replace them with plastic. Life on earth depends on rich biodiversity, and the use of artificial grass is irresponsible. This, aside from the issue of huge volumes of plastics should be enough to determine that the '25 Year Environment Plan' is not ambitious enough. 
This is a simple step towards the commitment to COP26. 
Incentives are not enough.",10901,2021-11-18T06:55:53.460Z,2022-06-16,,True,This petition relates to the banning of artificial grass which can be detrimental to the environment.
586378,https://petition.parliament.uk/petitions/586378.json,closed,Give the Environment Agency the funds and freedom to protect English rivers,"The Government must reverse years of cuts to Agency budgets, increase charges for polluters, and give the Agency freedom from overly business-friendly Government codes and guidance, so it can pursue and achieve its principal statutory objective to protect and enhance English rivers","Over 10% of freshwater species are threatened with extinction and two thirds are in decline, including salmon. Only 14% of rivers are at good ecological status. 26% of groundwater bodies are at poor status. 40% of rivers suffer pollution from rural areas. Pollution incidents, caused by agriculture and water companies, occur routinely with almost no response from the Agency. Too little monitoring, inspection, enforcement and prosecution of existing pollution law.",10655,2021-05-17T11:37:38.846Z,2021-12-17,,True,This petition relates to the Environment Agency and funding to protect English rivers from pollution.
302242,https://petition.parliament.uk/petitions/302242.json,closed,Ban adverts for and sale of Asian elephant tours that do not meet set standards,"Many endangered Asian elephants suffer from brutal tourism, much of it from the UK. Current guidance and promises by the tourism industry are insufficient, and the Government must legislate to ban adverts for and sale of Asian elephant tours that do not meet a set standard. ","Elephants as “megagardeners of the forest” are key to biodiversity, nourish land, store carbon, and protect from climate change. Yet 40% of tourists to some countries plan elephant rides. In Thailand captive elephants, which can transmit TB, gave 13 million rides in 2016.

Operators advertise and sell Asian elephant tours with no legal constraints. 90% of people surveyed say using elephants in tourism is unjustified. Petitions to end their cruel treatment have received millions of signatures.",10595,2020-03-13T16:28:42.307Z,2020-11-10,,True,This petition relates to the banning of Asian elephant tours which can be detrimental to the environment.
325517,https://petition.parliament.uk/petitions/325517.json,closed,Fund dedicated dementia wards in all hospitals,"Dementia effects all ages, but many hospitals do not have specialised facilities to meet the needs of people with dementia and their carers. The Government should fund dedicated dementia wards in all hospitals, to provide advice, right environment, targeted medical treatment & comfort.","Dedicated wards would consist of nurses, doctors & other specialists who would be able to give the right treatment & assistance, in discussion with patients and carers. We believe the benefits of improving specialised care would far outweigh the costs.",10564,2020-06-08T08:41:23.695Z,2021-01-25,,False,This petition does not relate to the environment.
618769,https://petition.parliament.uk/petitions/618769.json,open,Negotiate sustainable catch limits for all 5 UK cod stocks with the EU in 2022.,"There are five cod stocks around the UK, all of which are overfished. Four are so badly overfished that populations are at risk of collapse. Every year, catch limits are determined in negotiations between the UK, EU and Norway and every year the UK ignores the science and allows overfishing.","We need thriving cod populations around the UK for the health of our seas, our people and our businesses that depend on cod. However, the situation is dire. The West Scotland cod population alone has declined by 92% since 1981. Despite continued warnings about the perilous condition of the stock, the UK set catch limits far above sustainable levels. The UK must set catch limits at sustainable levels to allow cod populations to replenish themselves and flourish in our seas, for us all.",10553,2022-06-20T15:41:42.590Z,,,True,This petition relates to sustainable catch limits for cod stocks which is an important part of the environment.
616480,https://petition.parliament.uk/petitions/616480.json,closed,Do not pass legislation to allow the gene editing of animals and crops,"I want the Government to abandon plans to pass legislation to legalise gene editing of animals and crops. The Government has said technologies such as gene editing have the potential to increase disease resistance in crops, reduce pesticide use, lower costs to farmers and increase food production.","I want the Government to abandon the Genetic Technology (Precision Breeding) Bill because I believe that relaxing regulations on GE livestock would be a huge step backwards for animal welfare and jeopardise ethical consumer choices.
 
Furthermore gene editing could have unpredictable effects and alter the animals in ways we cannot comprehend. We believe the use of GE technologies also threatens to push farmed animals further beyond their biological limits, which could have adverse effects for their health and in turn for consumers.",10549,2022-05-12T09:14:55.796Z,2022-09-26,,True,This petition is about tree planting and climate change.
552296,https://petition.parliament.uk/petitions/552296.json,closed,Enshrine tree planting target in law,"The UK is hosting the 2021 United Nations Climate Change Conference and has already enshrined a net zero carbon emissions target in law. Now is the time for the Government to set a legally-binding tree planting target, in line with the recommendation by the Committee on Climate Change.","Tree planting is integral to tackling the climate crisis. Despite this, only 13% of the UK has tree cover, compared to an EU average of 38%. A legally binding target to plant 30,000 ha of new woodland each year to 2050, as has been recommended by the Committee on Climate Change, that considers best sustainable practices in urban and rural tree planting could help increase biodiversity, reconnect people with nature and deliver on our net zero target.",10508,2020-09-24T09:42:05.095Z,2021-05-21,,True,This petition is about protecting and restoring rainforests.
